Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Tyrone Taylor,2021,MIL,271,7.4%,21.8%,0.210,106,13675
Charlie Culberson,2021,TEX,271,6.3%,23.6%,0.138,85,3298
Jon Berti,2021,MIA,271,11.8%,22.5%,0.103,79,12037
Brian Goodwin,2021,CHW,271,12.2%,21.4%,0.153,94,12858
Jake Fraley,2021,SEA,265,17.4%,26.8%,0.159,109,19260
Brian Anderson,2021,MIA,264,9.8%,24.6%,0.129,99,18289
Lane Thomas,2021,- - -,264,14.0%,23.9%,0.177,103,16939
Dom Nunez,2021,COL,263,12.9%,34.6%,0.211,69,15055
Yoshi Tsutsugo,2021,- - -,262,11.1%,27.5%,0.165,90,27459
Yermin Mercedes,2021,CHW,262,7.6%,17.6%,0.133,102,17423
Brandon Marsh,2021,LAA,260,7.7%,35.0%,0.102,86,20202
Brock Holt,2021,TEX,260,8.8%,18.8%,0.089,62,9345
Frank Schwindel,2021,- - -,259,6.2%,15.8%,0.264,152,15351
Daniel Vogelbach,2021,MIL,258,16.7%,22.1%,0.163,101,14130
Joe Panik,2021,- - -,257,6.6%,13.2%,0.076,51,11936
Hanser Alberto,2021,KCR,255,1.6%,10.2%,0.133,84,11902
Sergio Alcantara,2021,CHC,255,11.8%,29.0%,0.123,71,16417
Byron Buxton,2021,MIN,254,5.1%,24.4%,0.340,169,14161
Ryan O'Hearn,2021,KCR,254,5.1%,28.0%,0.144,70,16442
Mitch Moreland,2021,OAK,252,7.1%,23.0%,0.188,93,3086
Jesus Sanchez,2021,MIA,251,8.0%,31.1%,0.238,116,19913
Yu Chang,2021,CLE,251,4.4%,27.5%,0.198,85,14773
Garrett Cooper,2021,MIA,250,12.0%,27.2%,0.181,134,15279
Travis Shaw,2021,- - -,250,9.6%,27.2%,0.173,78,11982
Josh Naylor,2021,CLE,250,5.6%,18.0%,0.146,90,18839
Anthony Rendon,2021,LAA,249,11.6%,16.5%,0.143,95,12861
Matt Carpenter,2021,STL,249,14.1%,30.9%,0.106,70,8090
Carter Kieboom,2021,WSN,249,10.0%,24.9%,0.111,68,19958
Luis Garcia,2021,WSN,247,4.5%,17.4%,0.169,79,20391
Kurt Suzuki,2021,LAA,247,4.9%,17.8%,0.119,76,8259
Phillip Evans,2021,PIT,247,11.3%,21.5%,0.093,73,12950
Santiago Espinal,2021,TOR,246,8.9%,12.2%,0.095,115,19997
Mitch Garver,2021,MIN,243,12.8%,29.2%,0.261,137,15161
Tommy La Stella,2021,SFG,242,7.4%,10.7%,0.155,94,12371
Luke Voit,2021,NYY,241,8.7%,30.7%,0.197,111,14811
Wilmer Difo,2021,PIT,240,8.3%,22.5%,0.114,95,14320
DJ Peters,2021,- - -,240,5.0%,34.2%,0.224,71,19348
Oscar Mercado,2021,CLE,238,8.8%,17.6%,0.145,84,16375
Sam Hilliard,2021,COL,238,9.7%,36.6%,0.248,85,17954
Stephen Vogt,2021,- - -,238,10.9%,23.5%,0.138,64,5000
Taylor Ward,2021,LAA,237,8.4%,23.2%,0.188,111,17548
Matt Beaty,2021,LAD,234,8.5%,18.8%,0.132,114,17710
Chad Pinder,2021,OAK,233,6.9%,26.6%,0.168,97,15191
Curt Casali,2021,SFG,231,11.3%,28.6%,0.140,82,12510
Alex Kirilloff,2021,MIN,231,6.1%,22.5%,0.172,93,20325
Eloy Jimenez,2021,CHW,231,6.9%,24.7%,0.188,101,17484
Zack Collins,2021,CHW,231,14.7%,29.9%,0.128,90,19181
Michael Perez,2021,PIT,231,8.2%,29.4%,0.148,38,12977
Travis d'Arnaud,2021,ATL,229,7.4%,23.1%,0.167,78,7739
Erik Gonzalez,2021,PIT,229,3.5%,17.5%,0.068,50,13369
Austin Barnes,2021,LAD,225,8.9%,24.9%,0.130,79,12158
Magneuris Sierra,2021,MIA,225,6.7%,22.2%,0.038,51,17023
Victor Reyes,2021,DET,220,3.6%,25.0%,0.158,88,15487
Eli White,2021,TEX,220,8.2%,30.0%,0.131,58,19346
Sandy Leon,2021,MIA,220,5.5%,29.5%,0.084,42,5273
David Dahl,2021,TEX,220,4.5%,26.8%,0.112,54,13744
Bryan De La Cruz,2021,MIA,219,8.2%,24.2%,0.131,115,19600
Clint Frazier,2021,NYY,218,14.7%,29.8%,0.131,82,15983
Reese McGuire,2021,TOR,217,6.9%,20.3%,0.091,78,15674
Nick Gordon,2021,MIN,216,5.6%,25.5%,0.115,77,16337
Willians Astudillo,2021,MIN,216,1.4%,5.6%,0.139,70,15608
Nick Madrigal,2021,CHW,215,5.1%,7.9%,0.120,113,20521
