Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Stephen Vogt,2021,- - -,238,0.109,0.235,0.138,64,5000
Taylor Ward,2021,LAA,237,0.084,0.232,0.188,111,17548
Matt Beaty,2021,LAD,234,0.085,0.188,0.132,114,17710
Chad Pinder,2021,OAK,233,0.069,0.266,0.168,97,15191
Curt Casali,2021,SFG,231,0.113,0.286,0.140,82,12510
Alex Kirilloff,2021,MIN,231,0.061,0.225,0.172,93,20325
Eloy Jimenez,2021,CHW,231,0.069,0.247,0.188,101,17484
Zack Collins,2021,CHW,231,0.147,0.299,0.128,90,19181
Michael Perez,2021,PIT,231,0.082,0.294,0.148,38,12977
Travis d'Arnaud,2021,ATL,229,0.074,0.231,0.167,78,7739
Erik Gonzalez,2021,PIT,229,0.035,0.175,0.068,50,13369
Austin Barnes,2021,LAD,225,0.089,0.249,0.130,79,12158
Magneuris Sierra,2021,MIA,225,0.067,0.222,0.038,51,17023
Victor Reyes,2021,DET,220,0.036,0.250,0.158,88,15487
Eli White,2021,TEX,220,0.082,0.300,0.131,58,19346
Sandy Leon,2021,MIA,220,0.055,0.295,0.084,42,5273
David Dahl,2021,TEX,220,0.045,0.268,0.112,54,13744
Bryan De La Cruz,2021,MIA,219,0.082,0.242,0.131,115,19600
Clint Frazier,2021,NYY,218,0.147,0.298,0.131,82,15983
Reese McGuire,2021,TOR,217,0.069,0.203,0.091,78,15674
Nick Gordon,2021,MIN,216,0.056,0.255,0.115,77,16337
Willians Astudillo,2021,MIN,216,0.014,0.056,0.139,70,15608
Nick Madrigal,2021,CHW,215,0.051,0.079,0.120,113,20521
Andrew Stevenson,2021,WSN,214,0.061,0.290,0.109,68,17932
Brent Rooker,2021,MIN,213,0.070,0.329,0.196,89,19627
J.D. Davis,2021,NYM,211,0.114,0.322,0.151,130,16219
Connor Joe,2021,COL,211,0.123,0.194,0.184,116,16572
Kyle Higashioka,2021,NYY,211,0.081,0.280,0.207,71,5517
Andres Gimenez,2021,CLE,210,0.052,0.257,0.133,73,19950
Jorge Mateo,2021,- - -,209,0.043,0.263,0.129,83,17273
Ehire Adrianza,2021,ATL,209,0.100,0.201,0.154,94,8418
Manny Pina,2021,MIL,208,0.106,0.183,0.250,95,2829
Marcell Ozuna,2021,ATL,208,0.091,0.221,0.144,73,10324
Mike Moustakas,2021,CIN,206,0.087,0.223,0.164,70,4892
Danny Jansen,2021,TOR,205,0.083,0.215,0.250,105,16535
Aristides Aquino,2021,CIN,204,0.132,0.368,0.218,83,15482
Owen Miller,2021,CLE,202,0.045,0.267,0.105,49,24655
Victor Caratini,2018,CHC,200,0.060,0.210,0.072,65,14968
Alex Avila,2019,ARI,201,0.179,0.338,0.213,96,7476
Ty France,2019,SDP,201,0.045,0.244,0.168,84,17982
Kendrys Morales,2019,- - -,201,0.129,0.129,0.059,63,8610
Isan Diaz,2019,MIA,201,0.095,0.294,0.134,53,17922
Ryan McMahon,2018,COL,202,0.089,0.317,0.144,69,15112
Dustin Fowler,2018,OAK,203,0.039,0.232,0.130,67,17098
Gregor Blanco,2018,SFG,203,0.059,0.286,0.101,58,3123
Willians Astudillo,2019,MIN,204,0.025,0.039,0.111,77,15608
Ronny Rodriguez,2018,DET,206,0.049,0.204,0.115,57,11875
Blake Swihart,2018,BOS,207,0.072,0.275,0.099,64,13176
Greg Garcia,2018,STL,208,0.096,0.178,0.083,73,10951
Jefry Marte,2018,LAA,209,0.062,0.196,0.155,75,5107
Martin Prado,2018,MIA,209,0.053,0.167,0.061,66,3312
Jacob Stallings,2019,PIT,210,0.076,0.190,0.120,82,13723
David Bote,2018,CHC,210,0.090,0.286,0.168,96,14593
Roberto Perez,2018,CLE,210,0.100,0.333,0.095,41,2900
Ildemaro Vargas,2019,ARI,211,0.043,0.114,0.144,81,13324
Kevan Smith,2019,LAA,211,0.076,0.175,0.141,88,12284
Bo Bichette,2019,TOR,212,0.066,0.236,0.260,142,19612
Mike Freeman,2019,CLE,213,0.103,0.286,0.113,103,11241
Pedro Severino,2018,WSN,213,0.085,0.221,0.079,32,14523
Andrew Knapp,2018,PHI,215,0.112,0.349,0.118,68,14942
Tony Wolters,2018,COL,216,0.120,0.153,0.115,46,11470
Brian McCann,2018,HOU,216,0.088,0.185,0.127,82,4810
Rajai Davis,2018,CLE,216,0.051,0.222,0.056,51,3708
Jeff Mathis,2018,ARI,218,0.092,0.303,0.072,46,3448
Carlos Asuaje,2018,SDP,218,0.110,0.211,0.085,59,15197
Josh Donaldson,2018,- - -,219,0.142,0.247,0.203,118,5038
Erik Kratz,2018,MIL,219,0.027,0.183,0.118,71,4403
Victor Reyes,2018,DET,219,0.023,0.210,0.066,37,15487
Ji-Man Choi,2018,- - -,221,0.118,0.249,0.242,136,5452
Adeiny Hechavarria,2019,- - -,221,0.063,0.217,0.202,94,10459
Brandon Guyer,2018,CLE,221,0.068,0.217,0.165,83,2636
Isiah Kiner-Falefa,2019,TEX,222,0.063,0.221,0.084,57,16512
John Ryan Murphy,2018,ARI,223,0.049,0.318,0.173,61,10346
Grayson Greiner,2019,DET,224,0.058,0.313,0.106,45,17062
