Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Chris Taylor,2021,LAD,582,0.108,0.287,0.183,113,13757
Enrique Hernandez,2021,BOS,585,0.104,0.188,0.199,110,10472
Jean Segura,2021,PHI,567,0.069,0.138,0.146,109,5933
Robbie Grossman,2021,DET,671,0.146,0.231,0.176,114,5254
Nate Lowe,2021,TEX,642,0.125,0.252,0.151,115,19566
Nolan Arenado,2021,STL,653,0.077,0.147,0.239,113,9777
Ozzie Albies,2021,ATL,686,0.069,0.187,0.229,107,16556
Dylan Carlson,2021,STL,619,0.092,0.246,0.172,113,20126
J.T. Realmuto,2021,PHI,537,0.089,0.240,0.176,108,11739
Ryan Mountcastle,2021,BAL,586,0.070,0.275,0.232,111,18373
Andrew McCutchen,2021,PHI,574,0.141,0.230,0.222,107,9847
Eduardo Escobar,2021,- - -,599,0.080,0.207,0.219,107,6153
Ryan McMahon,2021,COL,596,0.099,0.247,0.195,95,15112
Alex Verdugo,2021,BOS,604,0.084,0.159,0.138,107,17027
Jesus Aguilar,2021,MIA,510,0.090,0.182,0.198,112,11342
Mark Canha,2021,OAK,625,0.123,0.205,0.156,115,11445
Lourdes Gurriel Jr.,2021,TOR,541,0.059,0.189,0.190,107,19238
Charlie Blackmon,2021,COL,582,0.093,0.156,0.140,94,7859
Miguel Sano,2021,MIN,532,0.111,0.344,0.243,110,12164
Nicky Lopez,2021,KCR,565,0.087,0.131,0.078,106,19339
Austin Hays,2021,BAL,529,0.053,0.202,0.205,106,19363
Ian Happ,2021,CHC,535,0.116,0.292,0.209,103,17919
Andrew Benintendi,2021,KCR,538,0.067,0.180,0.166,106,17901
Austin Meadows,2021,TBR,591,0.100,0.206,0.224,113,15672
Josh Rojas,2021,ARI,550,0.105,0.249,0.147,102,19734
Trey Mancini,2021,BAL,616,0.083,0.232,0.176,105,15149
Mike Yastrzemski,2021,SFG,532,0.096,0.246,0.233,106,14854
Yandy Diaz,2021,TBR,541,0.128,0.157,0.131,111,16578
Josh Harrison,2021,- - -,558,0.056,0.134,0.121,103,8202
Adam Duvall,2021,- - -,555,0.063,0.314,0.263,103,10950
Jonathan Schoop,2021,DET,674,0.055,0.197,0.157,105,11265
Jorge Soler,2021,- - -,602,0.111,0.236,0.209,100,14221
Dansby Swanson,2021,ATL,653,0.080,0.256,0.201,98,18314
Trent Grisham,2021,SDP,527,0.102,0.226,0.171,103,18564
Jonathan Villar,2021,NYM,505,0.091,0.261,0.167,105,10071
Eric Hosmer,2021,SDP,565,0.085,0.175,0.126,102,3516
Tommy Pham,2021,SDP,561,0.139,0.228,0.154,102,2967
Pavin Smith,2021,ARI,545,0.077,0.194,0.137,96,19892
Francisco Lindor,2021,NYM,524,0.111,0.183,0.181,103,12916
Kyle Farmer,2021,CIN,529,0.042,0.183,0.153,91,14813
Amed Rosario,2021,CLE,588,0.053,0.204,0.127,99,15518
DJ LeMahieu,2021,NYY,679,0.108,0.138,0.094,100,9874
Adolis Garcia,2021,TEX,622,0.051,0.312,0.212,100,19287
David Peralta,2021,ARI,538,0.086,0.171,0.144,93,2136
J.P. Crawford,2021,SEA,687,0.084,0.166,0.103,103,15491
Jazz Chisholm Jr.,2021,MIA,507,0.067,0.286,0.177,98,20454
Matt Chapman,2021,OAK,622,0.129,0.325,0.193,101,16505
Miguel Rojas,2021,MIA,539,0.069,0.137,0.127,97,7802
Jed Lowrie,2021,OAK,512,0.096,0.211,0.153,100,4418
Myles Straw,2021,- - -,638,0.105,0.190,0.076,98,17620
Kyle Seager,2021,SEA,670,0.088,0.240,0.226,99,9785
Gleyber Torres,2021,NYY,516,0.097,0.202,0.107,94,16997
Whit Merrifield,2021,KCR,720,0.056,0.143,0.117,91,11281
Eugenio Suarez,2021,CIN,574,0.098,0.298,0.230,85,12552
Miguel Cabrera,2021,DET,526,0.076,0.224,0.129,92,1744
Raimel Tapia,2021,COL,533,0.075,0.131,0.099,76,14350
Jose Iglesias,2021,- - -,511,0.041,0.147,0.120,91,10231
Cesar Hernandez,2021,- - -,637,0.093,0.212,0.154,90,10556
Tommy Edman,2021,STL,691,0.055,0.137,0.125,91,19470
Randal Grichuk,2021,TOR,545,0.050,0.209,0.182,85,10243
